Voornaam,Achternaam,Gebruikersnaam,DisplayName,UserPrincipalName,Department,Title,Description,Wachtwoord,VerzamelOU,GebruikersOU
Jackie,Stewart,stewa918,Jackie Stewart,stewa918@homelab.net,Tyrrell,3-voudig Wereldkampioen,Formule 1 Coureur voor Tyrrell,0ZvS6!b!,"Formule1","Tyrrell"
Bruce,McLaren,mclar932,Bruce McLaren,mclar932@homelab.net,Mc Laren,Oprichter & Coureur McLaren,Formule 1 Coureur voor Mc Laren,13g0oS#9,"Formule1","McLaren"
Dan,Gurney,gurne250,Dan Gurney,gurne250@homelab.net,Eagle,Formule 1 Coureur,Formule 1 Coureur voor Eagle,oBsi$j4a,"Formule1","Eagle"
Jochen,Rindt,rindt568,Jochen Rindt,rindt568@homelab.net,Lotus,Formule 1 Wereldkampioen 1970,Formule 1 Coureur voor Lotus,e@Qe1Asq,"Formule1","Lotus"
Emerson,Fittipaldi,fitti347,Emerson Fittipaldi,fitti347@homelab.net,Lotus,Tweevoudig Wereldkampioen,Formule 1 Coureur voor Lotus,GKY#z6tr,"Formule1","Lotus"
Niki,Lauda,lauda935,Niki Lauda,lauda935@homelab.net,Ferrari,3-voudig Wereldkampioen,Formule 1 Coureur voor Ferrari,#XmDGC3Y,"Formule1","Ferrari"
James,Hunt,huntx804,James Hunt,huntx804@homelab.net,Mc Laren,Formule 1 Wereldkampioen 1976,Formule 1 Coureur voor Mc Laren,w&RBo5TM,"Formule1","McLaren"
Mario,Andretti,andre510,Mario Andretti,andre510@homelab.net,Lotus,Formule 1 Wereldkampioen 1978,Formule 1 Coureur voor Lotus,&0lh&Pf7,"Formule1","Lotus"
Jody,Scheckter,schec969,Jody Scheckter,schec969@homelab.net,Ferrari,Formule 1 Wereldkampioen 1979,Formule 1 Coureur voor Ferrari,z1$YwcS6,"Formule1","Ferrari"
Ronnie,Peterson,peter892,Ronnie Peterson,peter892@homelab.net,Lotus,Formule 1 Coureur,Formule 1 Coureur voor Lotus,2U#nKFil,"Formule1","Lotus"
Gilles,Villeneuve,ville743,Gilles Villeneuve,ville743@homelab.net,Ferrari,Formule 1 Coureur,Formule 1 Coureur voor Ferrari,uw3i4q&J,"Formule1","Ferrari"
Clay,Regazzoni,regaz297,Clay Regazzoni,regaz297@homelab.net,Williams,Formule 1 Coureur,Formule 1 Coureur voor Williams,xB5@bvZF,"Formule1","Williams"
Carlos,Reutemann,reute544,Carlos Reutemann,reute544@homelab.net,Brabham,Formule 1 Coureur,Formule 1 Coureur voor Brabham,F1REv5r!,"Formule1","Brabham"
Alan,Jones,jones200,Alan Jones,jones200@homelab.net,Williams,Formule 1 Wereldkampioen 1980,Formule 1 Coureur voor Williams,Gv&Fn3nD,"Formule1","Williams"
Nelson,Piquet,pique775,Nelson Piquet,pique775@homelab.net,Brabham,3-voudig Wereldkampioen,Formule 1 Coureur voor Brabham,U#p37YWn,"Formule1","Brabham"
Keke,Rosberg,rosbe849,Keke Rosberg,rosbe849@homelab.net,Williams,Formule 1 Wereldkampioen 1982,Formule 1 Coureur voor Williams,vo#Op61w,"Formule1","Williams"
Alain,Prost,prost915,Alain Prost,prost915@homelab.net,Mc Laren,4-voudig Wereldkampioen,Formule 1 Coureur voor Mc Laren,%dxw7BMw,"Formule1","McLaren"
Ayrton,Senna,senna928,Ayrton Senna,senna928@homelab.net,Mc Laren,3-voudig Wereldkampioen,Formule 1 Coureur voor Mc Laren,FRGka!7X,"Formule1","McLaren"
Nigel,Mansell,manse616,Nigel Mansell,manse616@homelab.net,Williams,Formule 1 Wereldkampioen 1992,Formule 1 Coureur voor Williams,C%hy$b28,"Formule1","Williams"
Gerhard,Berger,berge853,Gerhard Berger,berge853@homelab.net,Ferrari,Formule 1 Coureur,Formule 1 Coureur voor Ferrari,zgf9IkH@,"Formule1","Ferrari"
Riccardo,Patrese,patre343,Riccardo Patrese,patre343@homelab.net,Williams,Formule 1 Coureur,Formule 1 Coureur voor Williams,$CALFbV5,"Formule1","Williams"
Elio,de Angelis,angel600,Elio de Angelis,angel600@homelab.net,Lotus,Formule 1 Coureur,Formule 1 Coureur voor Lotus,AWa%GE3f,"Formule1","Lotus"
Michele,Alboreto,albor695,Michele Alboreto,albor695@homelab.net,Ferrari,Formule 1 Coureur,Formule 1 Coureur voor Ferrari,L#91UYuL,"Formule1","Ferrari"
Stefan,Johansson,johan568,Stefan Johansson,johan568@homelab.net,Ferrari,Formule 1 Coureur,Formule 1 Coureur voor Ferrari,JqK$uGs5,"Formule1","Ferrari"
Michael,Schumacher,schum493,Michael Schumacher,schum493@homelab.net,Ferrari,7-voudig Wereldkampioen,Formule 1 Coureur voor Ferrari,xCFs8%TH,"Formule1","Ferrari"
Damon,Hill,hillx867,Damon Hill,hillx867@homelab.net,Williams,Formule 1 Wereldkampioen 1996,Formule 1 Coureur voor Williams,dX@4#uN4,"Formule1","Williams"
Jacques,Villeneuve,ville133,Jacques Villeneuve,ville133@homelab.net,Williams,Formule 1 Wereldkampioen 1997,Formule 1 Coureur voor Williams,%u9wKJqS,"Formule1","Williams"
Mika,Hakkinen,hakki780,Mika Hakkinen,hakki780@homelab.net,Mc Laren,Tweevoudig Wereldkampioen,Formule 1 Coureur voor Mc Laren,lc5@$YKg,"Formule1","McLaren"
Eddie,Irvine,irvin144,Eddie Irvine,irvin144@homelab.net,Ferrari,Formule 1 Coureur,Formule 1 Coureur voor Ferrari,R3!s5rlg,"Formule1","Ferrari"
David,Coulthard,coult931,David Coulthard,coult931@homelab.net,Mc Laren,Formule 1 Coureur,Formule 1 Coureur voor Mc Laren,6b!QA6mA,"Formule1","McLaren"
Jean,Alesi,alesi144,Jean Alesi,alesi144@homelab.net,Ferrari,Formule 1 Coureur,Formule 1 Coureur voor Ferrari,l@IU$Q%5,"Formule1","Ferrari"
Rubens,Barrichello,barri515,Rubens Barrichello,barri515@homelab.net,Ferrari,Formule 1 Coureur,Formule 1 Coureur voor Ferrari,&0hCQadb,"Formule1","Ferrari"
Heinz-Harald,Frentzen,frent379,Heinz-Harald Frentzen,frent379@homelab.net,Jordan,Formule 1 Coureur,Formule 1 Coureur voor Jordan,YOFm&#g5,"Formule1","Jordan"
Jos,Verstappen,verst627,Jos Verstappen,verst627@homelab.net,Benetton,Formule 1 Coureur,Formule 1 Coureur voor Benetton,!m4gc4gU,"Formule1","Benetton"
Olivier,Panis,panis231,Olivier Panis,panis231@homelab.net,Ligier,Formule 1 Coureur,Formule 1 Coureur voor Ligier,g&WQ&2zG,"Formule1","Ligier"
Johnny,Herbert,herbe949,Johnny Herbert,herbe949@homelab.net,Benetton,Formule 1 Coureur,Formule 1 Coureur voor Benetton,d7c38V#m,"Formule1","Benetton"
Fernando,Alonso,alons837,Fernando Alonso,alons837@homelab.net,Renault,Tweevoudig Wereldkampioen,Formule 1 Coureur voor Renault,I#2PMtuR,"Formule1","Renault"
Kimi,Raikkonen,raikk276,Kimi Raikkonen,raikk276@homelab.net,Ferrari,Formule 1 Wereldkampioen 2007,Formule 1 Coureur voor Ferrari,2PBk3#Ir,"Formule1","Ferrari"
Jenson,Button,butto668,Jenson Button,butto668@homelab.net,Brawn GP,Formule 1 Wereldkampioen 2009,Formule 1 Coureur voor Brawn GP,qVN@DVi9,"Formule1","BrawnGP"
Felipe,Massa,massa338,Felipe Massa,massa338@homelab.net,Ferrari,Formule 1 Coureur,Formule 1 Coureur voor Ferrari,Q2mH0#WX,"Formule1","Ferrari"
Robert,Kubica,kubic283,Robert Kubica,kubic283@homelab.net,BMW Sauber,Formule 1 Coureur,Formule 1 Coureur voor BMW Sauber,XV@kp5s$,"Formule1","BMWSauber"
Mark,Webber,webbe465,Mark Webber,webbe465@homelab.net,Red Bull Racing,Formule 1 Coureur,Formule 1 Coureur voor Red Bull Racing,xNQju3%I,"Formule1","RedBullRacing"
Jarno,Trulli,trull266,Jarno Trulli,trull266@homelab.net,Renault,Formule 1 Coureur,Formule 1 Coureur voor Renault,X@Rr8&IB,"Formule1","Renault"
Giancarlo,Fisichella,fisic527,Giancarlo Fisichella,fisic527@homelab.net,Renault,Formule 1 Coureur,Formule 1 Coureur voor Renault,bC0X&9BE,"Formule1","Renault"
Nick,Heidfeld,heidf458,Nick Heidfeld,heidf458@homelab.net,BMW Sauber,Formule 1 Coureur,Formule 1 Coureur voor BMW Sauber,sv6E5fU$,"Formule1","BMWSauber"
Juan Pablo,Montoya,monto964,Juan Pablo Montoya,monto964@homelab.net,Williams,Formule 1 Coureur,Formule 1 Coureur voor Williams,AOoL9&H4,"Formule1","Williams"
Ralf,Schumacher,schum152,Ralf Schumacher,schum152@homelab.net,Williams,Formule 1 Coureur,Formule 1 Coureur voor Williams,7!i4nY9X,"Formule1","Williams"
Sebastian,Vettel,vette836,Sebastian Vettel,vette836@homelab.net,Red Bull Racing,4-voudig Wereldkampioen,Formule 1 Coureur voor Red Bull Racing,3!KnzD2F,"Formule1","RedBullRacing"
Lewis,Hamilton,hamil847,Lewis Hamilton,hamil847@homelab.net,Mercedes,7-voudig Wereldkampioen,Formule 1 Coureur voor Mercedes,Y2dbmjq!,"Formule1","Mercedes"
Nico,Rosberg,rosbe254,Nico Rosberg,rosbe254@homelab.net,Mercedes,Formule 1 Wereldkampioen 2016,Formule 1 Coureur voor Mercedes,LvGk6FX$,"Formule1","Mercedes"
Daniel,Ricciardo,ricci156,Daniel Ricciardo,ricci156@homelab.net,Red Bull Racing,Formule 1 Coureur,Formule 1 Coureur voor Red Bull Racing,N@uCB2kr,"Formule1","RedBullRacing"
Valtteri,Bottas,botta627,Valtteri Bottas,botta627@homelab.net,Mercedes,Formule 1 Coureur,Formule 1 Coureur voor Mercedes,miNV$p9q,"Formule1","Mercedes"
Romain,Grosjean,grosj290,Romain Grosjean,grosj290@homelab.net,Haas,Formule 1 Coureur,Formule 1 Coureur voor Haas,V5#pNoZL,"Formule1","Haas"
Sergio,Perez,perez915,Sergio Perez,perez915@homelab.net,Red Bull Racing,Formule 1 Coureur,Formule 1 Coureur voor Red Bull Racing,0J%p#JV%,"Formule1","RedBullRacing"
Nico,Hulkenberg,hulke148,Nico Hulkenberg,hulke148@homelab.net,Force India,Formule 1 Coureur,Formule 1 Coureur voor Force India,gDfz3!0o,"Formule1","ForceIndia"
Daniil,Kvyat,kvyat890,Daniil Kvyat,kvyat890@homelab.net,Toro Rosso,Formule 1 Coureur,Formule 1 Coureur voor Toro Rosso,PbDh$8jn,"Formule1","ToroRosso"
Carlos,Sainz,sainz623,Carlos Sainz,sainz623@homelab.net,Ferrari,Formule 1 Coureur,Formule 1 Coureur voor Ferrari,!iO4g40v,"Formule1","Ferrari"
Max,Verstappen,verst313,Max Verstappen,verst313@homelab.net,Red Bull Racing,Meervoudig Wereldkampioen,Formule 1 Coureur voor Red Bull Racing,!!m$q7Ii,"Formule1","RedBullRacing"
Charles,Leclerc,lecle198,Charles Leclerc,lecle198@homelab.net,Ferrari,Formule 1 Coureur,Formule 1 Coureur voor Ferrari,9&%aha5Z,"Formule1","Ferrari"
Lando,Norris,norri457,Lando Norris,norri457@homelab.net,Mc Laren,Formule 1 Coureur,Formule 1 Coureur voor Mc Laren,@Q&RPjl5,"Formule1","McLaren"
George,Russell,russe606,George Russell,russe606@homelab.net,Mercedes,Formule 1 Coureur,Formule 1 Coureur voor Mercedes,%R@2OPfn,"Formule1","Mercedes"
Pierre,Gasly,gasly200,Pierre Gasly,gasly200@homelab.net,Alpine,Formule 1 Coureur,Formule 1 Coureur voor Alpine,x#7LYhjP,"Formule1","Alpine"
Esteban,Ocon,oconx988,Esteban Ocon,oconx988@homelab.net,Alpine,Formule 1 Coureur,Formule 1 Coureur voor Alpine,$5kuTC$7,"Formule1","Alpine"
Alexander,Albon,albon269,Alexander Albon,albon269@homelab.net,Williams,Formule 1 Coureur,Formule 1 Coureur voor Williams,l2ksP%0J,"Formule1","Williams"
Yuki,Tsunoda,tsuno314,Yuki Tsunoda,tsuno314@homelab.net,RB,Formule 1 Coureur,Formule 1 Coureur voor RB,V93Rj!k5,"Formule1","RB"
Oscar,Piastri,piast569,Oscar Piastri,piast569@homelab.net,Mc Laren,Formule 1 Coureur,Formule 1 Coureur voor Mc Laren,@6tvI1e&,"Formule1","McLaren"
Lance,Stroll,strol757,Lance Stroll,strol757@homelab.net,Aston Martin,Formule 1 Coureur,Formule 1 Coureur voor Aston Martin,tQNq8wq$,"Formule1","AstonMartin"
Zhou,Guanyu,guany381,Zhou Guanyu,guany381@homelab.net,Alfa Romeo,Formule 1 Coureur,Formule 1 Coureur voor Alfa Romeo,BI$suM8c,"Formule1","AlfaRomeo"
Nyck,de Vries,vries928,Nyck de Vries,vries928@homelab.net,AlphaTauri,Formule 1 Coureur,Formule 1 Coureur voor AlphaTauri,1f2SY%Oq,"Formule1","AlphaTauri"
Liam,Lawson,lawso820,Liam Lawson,lawso820@homelab.net,RB,Formule 1 Coureur,Formule 1 Coureur voor RB,BHO5py1!,"Formule1","RB"
Oliver,Bearman,bearm455,Oliver Bearman,bearm455@homelab.net,Haas,Formule 1 Coureur,Formule 1 Coureur voor Haas,lmQar!4!,"Formule1","Haas"
Andrea Kimi,Antonelli,anton828,Andrea Kimi Antonelli,anton828@homelab.net,Mercedes,Formule 1 Coureur,Formule 1 Coureur voor Mercedes,5%181hCK,"Formule1","Mercedes"
Franco,Colapinto,colap272,Franco Colapinto,colap272@homelab.net,Williams,Formule 1 Coureur,Formule 1 Coureur voor Williams,RbOS64B%,"Formule1","Williams"
Virgil,van Dijk,dijkx142,Virgil van Dijk,dijkx142@homelab.net,Nederland,WK 2026 Speler - Aanvoerder & Verdediger,Voetballer voor Nederland op het WK 2026,3!c5CVDn,"Voetbal","Nederland"
Frenkie,de Jong,jongx132,Frenkie de Jong,jongx132@homelab.net,Nederland,WK 2026 Speler - Middenvelder,Voetballer voor Nederland op het WK 2026,iJ%wUw4$,"Voetbal","Nederland"
Cody,Gakpo,gakpo743,Cody Gakpo,gakpo743@homelab.net,Nederland,WK 2026 Speler - Aanvaller,Voetballer voor Nederland op het WK 2026,$z07KTJ&,"Voetbal","Nederland"
Memphis,Depay,depay159,Memphis Depay,depay159@homelab.net,Nederland,WK 2026 Speler - Aanvaller,Voetballer voor Nederland op het WK 2026,&1XvBR3$,"Voetbal","Nederland"
Nathan,Ake,akexx883,Nathan Ake,akexx883@homelab.net,Nederland,WK 2026 Speler - Verdediger,Voetballer voor Nederland op het WK 2026,&M1ED$Er,"Voetbal","Nederland"
Bart,Verbruggen,verbr625,Bart Verbruggen,verbr625@homelab.net,Nederland,WK 2026 Speler - Doelman,Voetballer voor Nederland op het WK 2026,hnaWje8@,"Voetbal","Nederland"
Tijjani,Reijnders,reijn928,Tijjani Reijnders,reijn928@homelab.net,Nederland,WK 2026 Speler - Middenvelder,Voetballer voor Nederland op het WK 2026,&9EoYAXt,"Voetbal","Nederland"
Xavi,Simons,simon316,Xavi Simons,simon316@homelab.net,Nederland,WK 2026 Speler - Middenvelder,Voetballer voor Nederland op het WK 2026,12H09p5!,"Voetbal","Nederland"
Lionel,Messi,messi946,Lionel Messi,messi946@homelab.net,Argentinië,WK 2026 Speler - Aanvoerder & Aanvaller,Voetballer voor Argentinië op het WK 2026,8h1ecD%!,"Voetbal","Argentinie"
Julian,Alvarez,alvar768,Julian Alvarez,alvar768@homelab.net,Argentinië,WK 2026 Speler - Aanvaller,Voetballer voor Argentinië op het WK 2026,EN4XUf%Z,"Voetbal","Argentinie"
Lautaro,Martinez,marti375,Lautaro Martinez,marti375@homelab.net,Argentinië,WK 2026 Speler - Aanvaller,Voetballer voor Argentinië op het WK 2026,O7LvP$Gq,"Voetbal","Argentinie"
Alexis,Mac Allister,allis928,Alexis Mac Allister,allis928@homelab.net,Argentinië,WK 2026 Speler - Middenvelder,Voetballer voor Argentinië op het WK 2026,#60fb!WK,"Voetbal","Argentinie"
Enzo,Fernandez,ferna964,Enzo Fernandez,ferna964@homelab.net,Argentinië,WK 2026 Speler - Middenvelder,Voetballer voor Argentinië op het WK 2026,Bxf$W!G6,"Voetbal","Argentinie"
Emiliano,Martinez,marti945,Emiliano Martinez,marti945@homelab.net,Argentinië,WK 2026 Speler - Doelman,Voetballer voor Argentinië op het WK 2026,j%61$HKJ,"Voetbal","Argentinie"
Rodrigo,De Paul,paulx650,Rodrigo De Paul,paulx650@homelab.net,Argentinië,WK 2026 Speler - Middenvelder,Voetballer voor Argentinië op het WK 2026,y5U5XJz!,"Voetbal","Argentinie"
Kylian,Mbappe,mbapp930,Kylian Mbappe,mbapp930@homelab.net,Frankrijk,WK 2026 Speler - Aanvoerder & Aanvaller,Voetballer voor Frankrijk op het WK 2026,p!wg2S2P,"Voetbal","Frankrijk"
Antoine,Griezmann,griez172,Antoine Griezmann,griez172@homelab.net,Frankrijk,WK 2026 Speler - Aanvaller,Voetballer voor Frankrijk op het WK 2026,#xPU5NEJ,"Voetbal","Frankrijk"
Aurelien,Tchouameni,tchou688,Aurelien Tchouameni,tchou688@homelab.net,Frankrijk,WK 2026 Speler - Middenvelder,Voetballer voor Frankrijk op het WK 2026,WLHcy!4h,"Voetbal","Frankrijk"
Eduardo,Camavinga,camav396,Eduardo Camavinga,camav396@homelab.net,Frankrijk,WK 2026 Speler - Middenvelder,Voetballer voor Frankrijk op het WK 2026,KHx$uB5Z,"Voetbal","Frankrijk"
William,Saliba,salib139,William Saliba,salib139@homelab.net,Frankrijk,WK 2026 Speler - Verdediger,Voetballer voor Frankrijk op het WK 2026,Kh@frx6h,"Voetbal","Frankrijk"
Mike,Maignan,maign527,Mike Maignan,maign527@homelab.net,Frankrijk,WK 2026 Speler - Doelman,Voetballer voor Frankrijk op het WK 2026,1c#BDueB,"Voetbal","Frankrijk"
Ousmane,Dembele,dembe783,Ousmane Dembele,dembe783@homelab.net,Frankrijk,WK 2026 Speler - Aanvaller,Voetballer voor Frankrijk op het WK 2026,RAxG8#8N,"Voetbal","Frankrijk"
Harry,Kane,kanex317,Harry Kane,kanex317@homelab.net,Engeland,WK 2026 Speler - Aanvoerder & Aanvaller,Voetballer voor Engeland op het WK 2026,eMDeVM5!,"Voetbal","Engeland"
Jude,Bellingham,belli435,Jude Bellingham,belli435@homelab.net,Engeland,WK 2026 Speler - Middenvelder,Voetballer voor Engeland op het WK 2026,k$9EbEX3,"Voetbal","Engeland"
Phil,Foden,foden201,Phil Foden,foden201@homelab.net,Engeland,WK 2026 Speler - Aanvaller,Voetballer voor Engeland op het WK 2026,$QxJBg4m,"Voetbal","Engeland"
Bukayo,Saka,sakax760,Bukayo Saka,sakax760@homelab.net,Engeland,WK 2026 Speler - Aanvaller,Voetballer voor Engeland op het WK 2026,E#9w#dn@,"Voetbal","Engeland"
Declan,Rice,ricex258,Declan Rice,ricex258@homelab.net,Engeland,WK 2026 Speler - Middenvelder,Voetballer voor Engeland op het WK 2026,&z0atYfO,"Voetbal","Engeland"
Jordan,Pickford,pickf843,Jordan Pickford,pickf843@homelab.net,Engeland,WK 2026 Speler - Doelman,Voetballer voor Engeland op het WK 2026,I01k$YsN,"Voetbal","Engeland"
Cole,Palmer,palme728,Cole Palmer,palme728@homelab.net,Engeland,WK 2026 Speler - Middenvelder,Voetballer voor Engeland op het WK 2026,Mn63u&N0,"Voetbal","Engeland"
Vinicius,Junior,junio284,Vinicius Junior,junio284@homelab.net,Brazilië,WK 2026 Speler - Aanvaller,Voetballer voor Brazilië op het WK 2026,Oq%1dMbp,"Voetbal","Brazilie"
Rodrygo,Goes,goesx680,Rodrygo Goes,goesx680@homelab.net,Brazilië,WK 2026 Speler - Aanvaller,Voetballer voor Brazilië op het WK 2026,97!rFN6C,"Voetbal","Brazilie"
Endrick,Felipe,felip885,Endrick Felipe,felip885@homelab.net,Brazilië,WK 2026 Speler - Aanvaller,Voetballer voor Brazilië op het WK 2026,hm!S24q9,"Voetbal","Brazilie"
Bruno,Guimaraes,guima174,Bruno Guimaraes,guima174@homelab.net,Brazilië,WK 2026 Speler - Middenvelder,Voetballer voor Brazilië op het WK 2026,bHMkQ9!U,"Voetbal","Brazilie"
Lucas,Paqueta,paque851,Lucas Paqueta,paque851@homelab.net,Brazilië,WK 2026 Speler - Middenvelder,Voetballer voor Brazilië op het WK 2026,#Xm#6XRR,"Voetbal","Brazilie"
Marquinhos,Aoas,aoasx668,Marquinhos Aoas,aoasx668@homelab.net,Brazilië,WK 2026 Speler - Verdediger,Voetballer voor Brazilië op het WK 2026,%jXrLA13,"Voetbal","Brazilie"
Alisson,Becker,becke578,Alisson Becker,becke578@homelab.net,Brazilië,WK 2026 Speler - Doelman,Voetballer voor Brazilië op het WK 2026,5ZpzY!cA,"Voetbal","Brazilie"
Jamal,Musiala,musia915,Jamal Musiala,musia915@homelab.net,Duitsland,WK 2026 Speler - Middenvelder,Voetballer voor Duitsland op het WK 2026,MaV@2IBk,"Voetbal","Duitsland"
Florian,Wirtz,wirtz204,Florian Wirtz,wirtz204@homelab.net,Duitsland,WK 2026 Speler - Middenvelder,Voetballer voor Duitsland op het WK 2026,0&&@a%Mf,"Voetbal","Duitsland"
Kai,Havertz,haver464,Kai Havertz,haver464@homelab.net,Duitsland,WK 2026 Speler - Aanvaller,Voetballer voor Duitsland op het WK 2026,FR%p8gcD,"Voetbal","Duitsland"
Joshua,Kimmich,kimmi189,Joshua Kimmich,kimmi189@homelab.net,Duitsland,WK 2026 Speler - Aanvoerder & Middenvelder,Voetballer voor Duitsland op het WK 2026,sNR&U9H$,"Voetbal","Duitsland"
Antonio,Ruediger,rudig299,Antonio Ruediger,rudig299@homelab.net,Duitsland,WK 2026 Speler - Verdediger,Voetballer voor Duitsland op het WK 2026,1!OaVk#j,"Voetbal","Duitsland"
Marc-Andre,ter Stegen,stege567,Marc-Andre ter Stegen,stege567@homelab.net,Duitsland,WK 2026 Speler - Doelman,Voetballer voor Duitsland op het WK 2026,luN9iq#F,"Voetbal","Duitsland"
Lamine,Yamal,yamal776,Lamine Yamal,yamal776@homelab.net,Spanje,WK 2026 Speler - Aanvaller,Voetballer voor Spanje op het WK 2026,C4O&TAfW,"Voetbal","Spanje"
Rodri,Hernandez,herna617,Rodri Hernandez,herna617@homelab.net,Spanje,WK 2026 Speler - Middenvelder,Voetballer voor Spanje op het WK 2026,R#Mu2AiQ,"Voetbal","Spanje"
Pedri,Gonzalez,gonza787,Pedri Gonzalez,gonza787@homelab.net,Spanje,WK 2026 Speler - Middenvelder,Voetballer voor Spanje op het WK 2026,FT3CCg!@,"Voetbal","Spanje"
Gavi,Paez,paezx244,Gavi Paez,paezx244@homelab.net,Spanje,WK 2026 Speler - Middenvelder,Voetballer voor Spanje op het WK 2026,JHlU94d@,"Voetbal","Spanje"
Nico,Williams,willi835,Nico Williams,willi835@homelab.net,Spanje,WK 2026 Speler - Aanvaller,Voetballer voor Spanje op het WK 2026,4R4b@8VV,"Voetbal","Spanje"
Unai,Simon,simon878,Unai Simon,simon878@homelab.net,Spanje,WK 2026 Speler - Doelman,Voetballer voor Spanje op het WK 2026,8PZzR%AI,"Voetbal","Spanje"
Dani,Carvajal,carva992,Dani Carvajal,carva992@homelab.net,Spanje,WK 2026 Speler - Verdediger,Voetballer voor Spanje op het WK 2026,3d&yA7jJ,"Voetbal","Spanje"
Cristiano,Ronaldo,ronal702,Cristiano Ronaldo,ronal702@homelab.net,Portugal,WK 2026 Speler - Aanvoerder & Aanvaller,Voetballer voor Portugal op het WK 2026,HHWF#b0s,"Voetbal","Portugal"
Bruno,Fernandes,ferna477,Bruno Fernandes,ferna477@homelab.net,Portugal,WK 2026 Speler - Middenvelder,Voetballer voor Portugal op het WK 2026,7xl!Sbo@,"Voetbal","Portugal"
Bernardo,Silva,silva578,Bernardo Silva,silva578@homelab.net,Portugal,WK 2026 Speler - Middenvelder,Voetballer voor Portugal op het WK 2026,u5%bEET4,"Voetbal","Portugal"
Rafael,Leão,leaox291,Rafael Leão,leãox291@homelab.net,Portugal,WK 2026 Speler - Aanvaller,Voetballer voor Portugal op het WK 2026,#pe91XYM,"Voetbal","Portugal"
Ruben,Dias,diasx877,Rúben Dias,diasx877@homelab.net,Portugal,WK 2026 Speler - Verdediger,Voetballer voor Portugal op het WK 2026,i#B3RKm6,"Voetbal","Portugal"
Diogo,Costa,costa353,Diogo Costa,costa353@homelab.net,Portugal,WK 2026 Speler - Doelman,Voetballer voor Portugal op het WK 2026,eUI$R%2N,"Voetbal","Portugal"
Kevin,De Bruyne,bruyn863,Kevin De Bruyne,bruyn863@homelab.net,België,WK 2026 Speler - Aanvoerder & Middenvelder,Voetballer voor België op het WK 2026,i558!3aB,"Voetbal","Belgie"
Romelu,Lukaku,lukak585,Romelu Lukaku,lukak585@homelab.net,België,WK 2026 Speler - Aanvaller,Voetballer voor België op het WK 2026,Gy!Ed0DF,"Voetbal","Belgie"
Jeremy,Doku,dokux737,Jeremy Doku,dokux737@homelab.net,België,WK 2026 Speler - Aanvaller,Voetballer voor België op het WK 2026,d$Dj1P7f,"Voetbal","Belgie"
Amadou,Onana,onana906,Amadou Onana,onana906@homelab.net,België,WK 2026 Speler - Middenvelder,Voetballer voor België op het WK 2026,wbN!NAz7,"Voetbal","Belgie"
Koen,Casteels,caste778,Koen Casteels,caste778@homelab.net,België,WK 2026 Speler - Doelman,Voetballer voor België op het WK 2026,N%km6IiZ,"Voetbal","Belgie"
Christian,Pulisic,pulis601,Christian Pulisic,pulis601@homelab.net,Verenigde Staten,WK 2026 Speler - Aanvoerder & Aanvaller,Voetballer voor Verenigde Staten op het WK 2026,a@cN1Xkg,"Voetbal","VerenigdeStaten"
Weston,McKennie,mcken588,Weston McKennie,mcken588@homelab.net,Verenigde Staten,WK 2026 Speler - Middenvelder,Voetballer voor Verenigde Staten op het WK 2026,dM5AxA@A,"Voetbal","VerenigdeStaten"
Tyler,Adams,adams742,Tyler Adams,adams742@homelab.net,Verenigde Staten,WK 2026 Speler - Middenvelder,Voetballer voor Verenigde Staten op het WK 2026,@mU3V7ew,"Voetbal","VerenigdeStaten"
Giovanni,Reyna,reyna310,Giovanni Reyna,reyna310@homelab.net,Verenigde Staten,WK 2026 Speler - Aanvaller,Voetballer voor Verenigde Staten op het WK 2026,#1I2oXLr,"Voetbal","VerenigdeStaten"
Matt,Turner,turne196,Matt Turner,turne196@homelab.net,Verenigde Staten,WK 2026 Speler - Doelman,Voetballer voor Verenigde Staten op het WK 2026,saS2kw&2,"Voetbal","VerenigdeStaten"
Edson,Alvarez,alvar332,Edson Alvarez,alvar332@homelab.net,Mexico,WK 2026 Speler - Aanvoerder & Middenvelder,Voetballer voor Mexico op het WK 2026,8v&ZSt8H,"Voetbal","Mexico"
Santiago,Gimenez,gimen238,Santiago Gimenez,gimen238@homelab.net,Mexico,WK 2026 Speler - Aanvaller,Voetballer voor Mexico op het WK 2026,nCN&2rzu,"Voetbal","Mexico"
Hirving,Lozano,lozan267,Hirving Lozano,lozan267@homelab.net,Mexico,WK 2026 Speler - Aanvaller,Voetballer voor Mexico op het WK 2026,%8zxjU#6,"Voetbal","Mexico"
Guillermo,Ochoa,ochoa949,Guillermo Ochoa,ochoa949@homelab.net,Mexico,WK 2026 Speler - Doelman,Voetballer voor Mexico op het WK 2026,77AAeN#u,"Voetbal","Mexico"
Alphonso,Davies,davie322,Alphonso Davies,davie322@homelab.net,Canada,WK 2026 Speler - Aanvoerder & Verdediger,Voetballer voor Canada op het WK 2026,&njfTq6D,"Voetbal","Canada"
Jonathan,David,david743,Jonathan David,david743@homelab.net,Canada,WK 2026 Speler - Aanvaller,Voetballer voor Canada op het WK 2026,6%DoA35v,"Voetbal","Canada"
Tajon,Buchanan,bucha887,Tajon Buchanan,bucha887@homelab.net,Canada,WK 2026 Speler - Middenvelder,Voetballer voor Canada op het WK 2026,&m!2HFOY,"Voetbal","Canada"
